,jobPodName,dataParallelism,executorCore,learningRate,batchSize,run,comments,running_time
157,trainjob-3d4fb6b4-aee3-459b-bf87-74a07efede7b-master-0   1/1     Running   0          6s,3,1000m,0.04,256,2,,62.127779722213745
158,trainjob-b1bacceb-7279-4c37-9836-ae02821d0d8f-master-0   1/1     Running   0          5s,3,1000m,0.04,256,3,,61.99763202667236
159,trainjob-e2f38182-0b5b-4a0b-b113-ad3ba644f330-master-0   1/1     Running           0          7s,3,1000m,0.04,512,1,,61.59875535964966
160,trainjob-84175356-59a7-44a3-b1cd-33c605e208a7-master-0   1/1     Running           0          5s,3,1000m,0.04,512,2,,60.574352502822876
161,trainjob-71e720cc-fcba-41f2-bb07-8560f177aac4-master-0   1/1     Running   0          6s,3,1000m,0.04,512,3,,60.990461111068726
162,trainjob-ccfcf62c-e23b-4a43-a297-bae7038edebd-master-0   1/1     Running           0          6s,2,1250m,0.01,128,1,,77.11627721786499
163,trainjob-141c4ed5-d986-43ee-becd-7f576a01f244-master-0   1/1     Running   0          6s,2,1250m,0.01,128,2,,82.18048930168152
164,trainjob-03e62898-83f1-4dde-9813-a260dcff4172-master-0   1/1     Running   0          6s,2,1250m,0.01,128,3,,77.18967413902283
165,trainjob-96013387-4ff3-4c46-8dd9-ef24309a70b7-master-0   1/1     Running           0          6s,2,1250m,0.01,256,1,,75.7335569858551
166,trainjob-05a6b06a-1c4a-4421-aad1-9b8c8cbbbf47-master-0   1/1     Running           0          7s,2,1250m,0.01,256,2,,74.05007743835449
167,trainjob-a4688d5a-ae1e-41ed-8ce8-4c4d2216e6dc-master-0   1/1     Running   0          5s,2,1250m,0.01,256,3,,73.9241361618042
168,trainjob-dea21ac4-d945-4ee1-b5d7-cf1fcd1ce2c9-master-0   1/1     Running           0          6s,2,1250m,0.01,512,1,,73.95305347442627
169,trainjob-d1ac87c4-84dc-40b0-96b5-3d9965aaa254-master-0   1/1     Running   0          7s,2,1250m,0.01,512,2,,78.32956552505493
170,trainjob-32abe9a6-df98-4b35-b499-3aebefe0f5ed-master-0   1/1     Running   0          6s,2,1250m,0.01,512,3,,75.79956007003784
171,trainjob-87eb3e02-3602-4992-a400-50eb4de64f94-master-0   1/1     Running           0          6s,2,1250m,0.02,128,1,,80.71731448173523
172,trainjob-91eba6d7-b27c-4a02-b67b-a0c0b80685cf-master-0   1/1     Running   0          7s,2,1250m,0.02,128,2,,79.68951797485352
173,trainjob-b3ef2c7f-6823-414e-b340-e29d46109109-master-0   1/1     Running   0          5s,2,1250m,0.02,128,3,,78.13308763504028
174,trainjob-b6af6e37-6e0c-473d-b92c-5faba2b4f2bd-master-0   1/1     Running   0          9s,2,1250m,0.02,256,1,,72.57619404792786
175,trainjob-af51d74b-558d-43eb-96e4-a1e049d5f1c9-master-0   1/1     Running   0          5s,2,1250m,0.02,256,2,,74.97930765151978
176,trainjob-98f4a2d0-64ee-4bb0-b2df-4488d7b4ced3-master-0   1/1     Running   0          5s,2,1250m,0.02,256,3,,75.28956770896912
177,trainjob-d8e147ee-5a61-40ae-bc36-55897e26ce66-master-0   1/1     Running           0          6s,2,1250m,0.02,512,1,,75.97021842002869
178,trainjob-707c3ab7-16b4-4d4e-8fd8-99ba243247b6-master-0   1/1     Running   0          5s,2,1250m,0.02,512,2,,75.17789077758789
179,trainjob-306acf1d-9b40-4374-9f6c-e0522871cd1e-master-0   1/1     Running   0          6s,2,1250m,0.02,512,3,,76.60411739349365
180,trainjob-41d26b5c-efb0-4fbe-a8ec-ffd963beb8d2-master-0   1/1     Running           0          6s,2,1250m,0.04,128,1,,76.97484874725342
181,trainjob-fe823abb-82e3-44b1-b87a-c53ab620bcbb-master-0   1/1     Running   0          5s,2,1250m,0.04,128,2,,78.44415831565857
182,trainjob-cd7e8029-ebed-4a47-9565-72f99ffb2d99-master-0   1/1     Running   0          5s,2,1250m,0.04,128,3,,79.34829759597778
183,trainjob-035f706c-1ba8-4ff4-8025-ae60292c48d7-master-0   1/1     Running           0          6s,2,1250m,0.04,256,1,,72.59793424606323
184,trainjob-d2458e77-4d40-474d-92b2-113c1ca1ea5c-master-0   1/1     Running           0          6s,2,1250m,0.04,256,2,,72.6700918674469
185,trainjob-656ab4b8-6cbe-4ff6-82a4-946eed0e928d-master-0   1/1     Running   0          5s,2,1250m,0.04,256,3,,72.39722871780396
186,trainjob-f6300d83-d52b-461c-b737-4d6c82045a96-master-0   1/1     Running           0          6s,2,1250m,0.04,512,1,,70.51781702041626
187,trainjob-f305b96f-edd6-4c8e-95ce-bcc1ca0ba9c8-master-0   1/1     Running   0          5s,2,1250m,0.04,512,2,,76.07919645309448
188,trainjob-b5f992bd-6d97-4484-aa54-2b2011688f88-master-0   1/1     Running           0          5s,2,1250m,0.04,512,3,,74.11198854446411
