,jobPodName,dataParallelism,executorCore,learningRate,batchSize,run,comments,running_time,accuracy
139,trainjob-77aff00c-d1e8-4bae-a192-2bbe6d0103c8-master-0   1/1     Running   0          8s,3,1000m,0.01,256,2,,62.21481943130493,87.6724624633789
140,trainjob-c3639706-849d-414f-a4fa-66c30ac8acc9-master-0   1/1     Running   0          6s,3,1000m,0.01,256,3,,61.22758483886719,88.39231872558594
141,trainjob-ebaf0840-839f-4ddf-8182-f3b9668df1be-master-0   1/1     Running           0          6s,3,1000m,0.01,512,1,,61.82246422767639,86.38272094726562
142,trainjob-439618a6-7e3b-4f05-8e67-3687ccdc29ac-master-0   1/1     Running    0          5s,3,1000m,0.01,512,2,,63.79384160041809,86.59268188476562
143,trainjob-5fc2a62a-a7ca-4eea-9642-fbba61f65fa9-master-0   1/1     Running   0          5s,3,1000m,0.01,512,3,,61.5565230846405,87.0125961303711
144,trainjob-a0cbcb38-8a1f-422e-b076-d458d49fda22-master-0   1/1     Running           0          6s,3,1000m,0.02,128,1,,66.01584053039551,87.31253814697266
145,trainjob-148304d1-d0b3-4926-a185-d6fd3a77cdad-master-0   1/1     Running   0          6s,3,1000m,0.02,128,2,,67.28642678260803,86.7426528930664
146,trainjob-6ed20b4a-ddcc-44ee-8d1a-2c9c383c013b-master-0   1/1     Running   0          6s,3,1000m,0.02,128,3,,67.31129097938538,86.23274993896484
147,trainjob-77e31c4b-1836-4f50-82d9-9d654811b2d4-master-0   1/1     Running           0          7s,3,1000m,0.02,256,1,,62.212687492370605,87.70246124267578
148,trainjob-06dc8c99-57f2-4902-8f84-cc13c17a35ca-master-0   1/1     Running           0          6s,3,1000m,0.02,256,2,,60.817545890808105,87.37252807617188
149,trainjob-02fe6f56-9bba-48d8-bfc7-8cb16e5e0a70-master-0   1/1     Running   0          6s,3,1000m,0.02,256,3,,62.01204514503479,88.12237548828125
150,trainjob-50606f08-59fa-4b6b-9a31-e87de5114648-master-0   1/1     Running           0          6s,3,1000m,0.02,512,1,,62.59288716316223,86.35272979736328
151,trainjob-be41cbcb-4ca7-4486-aeda-86d9b38e4780-master-0   1/1     Running   0          5s,3,1000m,0.02,512,2,,62.02462673187256,87.04259490966797
152,trainjob-b45eec1d-b250-45d1-8c11-d924aaadb478-master-0   1/1     Running   0          5s,3,1000m,0.02,512,3,,62.884727001190186,87.82243347167969
153,trainjob-8ef8bd50-de08-4341-891b-3a6a16209ceb-master-0   1/1     Running   0          8s,3,1000m,0.04,128,1,,69.56847381591797,86.83263397216797
154,trainjob-db35c789-16bd-4caa-9e1a-3c93e7246653-master-0   1/1     Running   0          6s,3,1000m,0.04,128,2,,67.51130962371826,87.25254821777344
155,trainjob-51ffcfcc-cdcc-46b4-957a-ae09f1d8690e-master-0   1/1     Running           0          5s,3,1000m,0.04,128,3,,64.09724259376526,87.2225570678711
156,trainjob-3049a842-02c6-43fb-a166-f5a95aa97da3-master-0   1/1     Running           0          6s,3,1000m,0.04,256,1,,62.905874729156494,86.26274871826172
157,trainjob-3d4fb6b4-aee3-459b-bf87-74a07efede7b-master-0   1/1     Running   0          6s,3,1000m,0.04,256,2,,62.127779722213745,86.11277770996094
158,trainjob-b1bacceb-7279-4c37-9836-ae02821d0d8f-master-0   1/1     Running   0          5s,3,1000m,0.04,256,3,,61.99763202667236,87.0125961303711
159,trainjob-e2f38182-0b5b-4a0b-b113-ad3ba644f330-master-0   1/1     Running           0          7s,3,1000m,0.04,512,1,,61.59875535964966,86.26274871826172
160,trainjob-84175356-59a7-44a3-b1cd-33c605e208a7-master-0   1/1     Running           0          5s,3,1000m,0.04,512,2,,60.574352502822876,85.33293151855469
161,trainjob-71e720cc-fcba-41f2-bb07-8560f177aac4-master-0   1/1     Running   0          6s,3,1000m,0.04,512,3,,60.990461111068726,86.50270080566406
162,trainjob-ccfcf62c-e23b-4a43-a297-bae7038edebd-master-0   1/1     Running           0          6s,2,1250m,0.01,128,1,,77.11627721786499,85.16000366210938
163,trainjob-141c4ed5-d986-43ee-becd-7f576a01f244-master-0   1/1     Running   0          6s,2,1250m,0.01,128,2,,82.18048930168152,86.36000061035156
164,trainjob-03e62898-83f1-4dde-9813-a260dcff4172-master-0   1/1     Running   0          6s,2,1250m,0.01,128,3,,77.18967413902283,86.31999969482422
165,trainjob-96013387-4ff3-4c46-8dd9-ef24309a70b7-master-0   1/1     Running           0          6s,2,1250m,0.01,256,1,,75.7335569858551,88.37999725341797
166,trainjob-05a6b06a-1c4a-4421-aad1-9b8c8cbbbf47-master-0   1/1     Running           0          7s,2,1250m,0.01,256,2,,74.05007743835449,88.45999908447266
167,trainjob-a4688d5a-ae1e-41ed-8ce8-4c4d2216e6dc-master-0   1/1     Running   0          5s,2,1250m,0.01,256,3,,73.9241361618042,87.91999816894531
168,trainjob-dea21ac4-d945-4ee1-b5d7-cf1fcd1ce2c9-master-0   1/1     Running           0          6s,2,1250m,0.01,512,1,,73.95305347442627,87.44000244140625
169,trainjob-d1ac87c4-84dc-40b0-96b5-3d9965aaa254-master-0   1/1     Running   0          7s,2,1250m,0.01,512,2,,78.32956552505493,87.80000305175781
